"Vare","Vare_2","Masse","Volume","Energi_kj","Kalorier_kcal","Fett_g","Mettet fett_g","Enumettet_fett_g","Flerumettet_fett_g","Karbohydrater_g","Sukkerarter_g","Sukkeralkoholer","Stivelse_g","Kostfiber_g","Protein_g","Salt_g","Land","Merke","Producent","Indeholder_1","Indeholder_2","Indeholder_3","Indeholder_spor_1","Indeholder_spor_2","Indeholder_spor_3"
"Gullsalami150 gram","",150,"",1820,444,40,15,19,6,1,0,"","","",20,5,"","","","","","","","",""
"Gulost Norvegia","","","",1458,351,27,17,"","",0,0,"","","",27,"1,2","","","","","","","","",""
"Gulost Synnøve","","","",1404,338,26,17,"","",0,0,"","","",26,"1,2","","","","","","","","",""
"Gulost Synnøve1 kg","",1000,"",1404,338,26,17,"","",0,0,"","","",26,"1,2","","","","","","","","",""
"Hamburgerdressing Idun470 gr flaske","",470,"",1025,245,22,"1,6",0,0,"9,5",7,"","",0,"0,8","1,1","","","","","","","","",""
"Hansa Pilsner5 dl","","",500,"","","","","","","","","","","","","","","","","","","","","",""
"Havregryn lettkokte Axa1","","","",1550,370,"7,5","1,1","2,6","2,4",60,1,"","",10,11,0,"","","","","","","","",""
"Heineken5 dl","","",500,186,44,"0,2","0,1",0,0,"2,5","0,1",0,0,0,"0,4",0,"","","","","","","","",""
"Helmelk Tine1 liter","","",1000,264,63,"3,5","2,3","","","4,5","4,5","","","","3,4","0,1","","","","","","","","",""
"Hobby48 gram","",48,"",1550,370,"9,4","5,6","","",64,57,"","","","3,7","0,1","","","","","","","","",""
"Hodekål/Sommerkål1 kg","",1000,"",137,32,"0,1",0,0,0,"5,2",0,"","0,1","2,6","1,4",0,"","","","","","","","",""
"Hollandaisesaus26 gram","",26,"",1665,395,"9,7","0,9","","","64,9","22,9","","",1,"11,4",5,"","","","","","","","",""
"Hvetemel2 kg","",2000,"",1433,338,"1,6","0,4","0,2","0,2","67,9","2,7","","","3,6","11,2",0,"","","","","","","","",""
"Hvetetortillas326 gr (8 lefser)","",326,"",1264,299,"5,2","1,2",0,0,"53,2","2,1",0,0,"3,7","9,1",1,"","","","","","","","",""
"Hvit julepølse","","","","","","","","","","","","","","","","","","","","","","","","",""
"Hvit saus","","","",251,60,"1,4","0,8","","","7,8","4,7","","","0,1","3,8","0,7","","","","","","","","",""
"Hvitost eget merke1000 gram","",1000,"","","","","","","","","","","","","","","","","","","","","","",""
"Håndsåpe Lano Refill300 ml","","",300,"","","","","","","","","","","","","","","","","","","","","",""
"Idun Ketchup530 gr","",530,"",391,93,0,0,"","",21,18,"","",0,"1,7","1,7","","","","","","","","",""
"Idun Sennep490 gr","",490,"",462,111,"3,6",0,"","",15,12,"","",0,"3,8","0,7","","","","","","","","",""
"IFA saltpastiller","","","",830,200,"0,4","0,3","","",49,47,"","","","0,9","1,8","","","","","","","","",""
"Indisk Tandoori Chicken290 gram","",290,"",556,132,"4,1","2,3","","",15,"0,8","","",0,"8,2","0,4","","","","","","","","",""
"Isbergsalat1 stk","","","",51,12,"0,1",0,0,"0,1","1,5",0,"",0,"1,1","0,8",0,"","","","","","","","",""
"Iskaffe a la Cappuccino330 ml","","",330,246,58,"1,1","0,8","","","9,5","9,5","","","","2,6","0,3","","","","","","","","",""
"Iskaffe a la Mocca330 ml","","",330,238,56,"1,1","0,8","","",9,9,"","","","2,6","0,3","","","","","","","","",""
"Italiensk salat eget merke400 gram","",400,"",1496,363,"37,4","2,9","","","5,2","4,9","","0,3","0,9",1,"0,8","","","","","","","","",""
"Italiensk salat med skinke180 gr","",180,"",1360,330,33,2,20,9,6,5,"","",0,2,"1,5","","","","","","","","",""
"Italienske gryte176 gram","",176,"",490,117,"5,1","2,4","","","9,2",1,"","","",8,"0,5","","","","","","","","",""
"Jalapeños","","","",122,29,"0,4","0,1",0,"0,1","4,1",0,"",0,"2,8","0,9",0,"","","","","","","","",""
"Japp Duo Freia82 gr","",82,"",1890,450,"17,5",10,"","",27,0,"","","1,3","4,4","0,2","","","","","","","","",""
"Jasminris Boil in B.","","","",524,123,"0,2",0,"","","","","","","0,8","2,9",0,"","","","","","","","",""
"JIF Baderom Spray500 ml","","",500,"","","","","","","","","","","","","","","","","","","","","",""
"JIF Kjøkken Spray500 ml","","",500,"","","","","","","","","","","","","","","","","","","","","",""
"JIF Skurekrem500 ml","","",500,"","","","","","","","","","","","","","","","","","","","","",""
"JIF Universal500 ml","","",500,"","","","","","","","","","","","","","","","","","","","","",""
"JoikakakerHermetikk 800gr","",800,"","","","","","","","","","","","","","","","","","","","","","",""
"Jordbærgele","","","",327,77,0,0,"","",19,19,"","","",0,"0,2","","","","","","","","",""
"Jordbærsyltetøy eget merke1000 gram","",1000,"",715,169,"0,1",0,"","",40,37,"",3,3,"0,4",0,"","","","","","","","",""
"Jordbærsyltetøy Nora400 gr hjemmelaget","",400,"",610,145,"0,1",0,"","",35,35,"","","1,5","0,3",0,"","","","","","","","",""
"Jubelsalami100 gr","",100,"",1618,391,35,13,17,5,1,0,"","","",18,5,"","","","","","","","",""
"Juleansjons","","","","","","","","","","","","","","","","","","","","","","","","",""
"Kalkunfilet Naturell100 gram","",100,"",446,105,"1,2","0,4","0,5","0,3","1,6","0,4","","","",22,"1,7","","","","","","","","",""
"Kaptein kjeks200 gr","",200,"",1700,410,"6,5","1,4","3,5","1,5",73,"2,1","","","2,7",13,"1,5","","","","","","","","",""
"Karamellsaus","","","",1615,380,0,0,"","",95,95,"","",0,0,0,"","","","","","","","",""
"Karbonadedeig billigste type","","","",542,129,5,"1,7","2,1","0,7",0,0,"","","",21,"0,1","","","","","","","","",""
