"Fylkesnr_2019","Fylkesnavn_2019","Kommunenr_2019","Kommunenavn_2019","Fylkesnr_2020","Fylkesnavn_2020","Kommunenr_2020","Kommunenavn_2020","DVH_regioner_2019","SIFO_regioner_2019","SSB"
"07","VESTFOLD","0712","LARVIK",38,"VESTFOLD OG TELEMARK",3805,"LARVIK","Vestre Østland DVH","Vestre Østland","larvik"
"07","VESTFOLD","0713","SANDE (VESTF.)",38,"VESTFOLD OG TELEMARK",3802,"HOLMESTRAND","Vestre Østland DVH","Vestre Østland","holmestrand"
"07","VESTFOLD","0715","HOLMESTRAND",38,"VESTFOLD OG TELEMARK",3802,"HOLMESTRAND","Vestre Østland DVH","Vestre Østland","holmestrand"
"07","VESTFOLD","0716","RE",38,"VESTFOLD OG TELEMARK",3803,"TØNSBERG","Vestre Østland DVH","Vestre Østland","tønsberg"
"07","VESTFOLD","0729","FÆRDER",38,"VESTFOLD OG TELEMARK",3811,"FÆRDER","Vestre Østland DVH","Vestre Østland","færder"
"08","TELEMARK","0805","PORSGRUNN",38,"VESTFOLD OG TELEMARK",3806,"PORSGRUNN","Vestre Østland DVH","Vestre Østland","porsgrunn"
"08","TELEMARK","0806","SKIEN",38,"VESTFOLD OG TELEMARK",3807,"SKIEN","Vestre Østland DVH","Vestre Østland","skien"
"08","TELEMARK","0807","NOTODDEN",38,"VESTFOLD OG TELEMARK",3808,"NOTODDEN","Vestre Østland DVH","Vestre Østland","notodden"
"08","TELEMARK","0811","SILJAN",38,"VESTFOLD OG TELEMARK",3812,"SILJAN","Vestre Østland DVH","Vestre Østland","siljan"
"08","TELEMARK","0814","BAMBLE",38,"VESTFOLD OG TELEMARK",3813,"BAMBLE","Vestre Østland DVH","Vestre Østland","bamble"
"08","TELEMARK","0815","KRAGERØ",38,"VESTFOLD OG TELEMARK",3814,"KRAGERØ","Vestre Østland DVH","Vestre Østland","kragerø"
"08","TELEMARK","0817","DRANGEDAL",38,"VESTFOLD OG TELEMARK",3815,"DRANGEDAL","Vestre Østland DVH","Vestre Østland","drangedal"
"08","TELEMARK","0819","NOME",38,"VESTFOLD OG TELEMARK",3816,"NOME","Vestre Østland DVH","Vestre Østland","nome"
"08","TELEMARK","0821","BØ (TELEM.)",38,"VESTFOLD OG TELEMARK",3817,"MIDT-TELEMARK","Vestre Østland DVH","Vestre Østland","midt-telemark"
"08","TELEMARK","0822","SAUHERAD",38,"VESTFOLD OG TELEMARK",3817,"MIDT-TELEMARK","Vestre Østland DVH","Vestre Østland","midt-telemark"
"08","TELEMARK","0826","TINN",38,"VESTFOLD OG TELEMARK",3818,"TINN","Vestre Østland DVH","Vestre Østland","tinn"
"08","TELEMARK","0827","HJARTDAL",38,"VESTFOLD OG TELEMARK",3819,"HJARTDAL","Vestre Østland DVH","Vestre Østland","hjartdal"
"08","TELEMARK","0828","SELJORD",38,"VESTFOLD OG TELEMARK",3820,"SELJORD","Vestre Østland DVH","Vestre Østland","seljord"
"08","TELEMARK","0829","KVITESEID",38,"VESTFOLD OG TELEMARK",3821,"KVITESEID","Vestre Østland DVH","Vestre Østland","kviteseid"
"08","TELEMARK","0830","NISSEDAL",38,"VESTFOLD OG TELEMARK",3822,"NISSEDAL","Vestre Østland DVH","Vestre Østland","nissedal"
"08","TELEMARK","0831","FYRESDAL",38,"VESTFOLD OG TELEMARK",3823,"FYRESDAL","Vestre Østland DVH","Vestre Østland","fyresdal"
"08","TELEMARK","0833","TOKKE",38,"VESTFOLD OG TELEMARK",3824,"TOKKE","Vestre Østland DVH","Vestre Østland","tokke"
"08","TELEMARK","0834","VINJE",38,"VESTFOLD OG TELEMARK",3825,"VINJE","Vestre Østland DVH","Vestre Østland","vinje"
"09","AUST-AGDER","0901","RISØR",42,"AGDER",4201,"RISØR","Vest Norge DVH","Vestre Østland","risør"
"09","AUST-AGDER","0904","GRIMSTAD",42,"AGDER",4202,"GRIMSTAD","Vest Norge DVH","Vestre Østland","grimstad"
"09","AUST-AGDER","0906","ARENDAL",42,"AGDER",4203,"ARENDAL","Vest Norge DVH","Vestre Østland","arendal"
"09","AUST-AGDER","0911","GJERSTAD",42,"AGDER",4211,"GJERSTAD","Vest Norge DVH","Vestre Østland","gjerstad"
