Name,Manufacturer,alpha_sc,a_ref,I_L_ref,I_o_ref,R_s,R_sh_ref
Trina_Solar_TSM-270PE05A,Trina Solar,0.004746,1.61596,9.275867,4.41E-10,0.319411,728.383423
Trina_Solar_TSM-270PE05A.08,Trina Solar,0.004746,1.61596,9.275867,4.41E-10,0.319411,728.383423
Trina_Solar_TSM-270PEG5,Trina Solar,0.005741,1.528818,9.267897,1.90E-10,0.21819,255.877914
Trina_Solar_TSM-270PEG5.07,Trina Solar,0.005741,1.528818,9.267897,1.90E-10,0.21819,255.877914
Trina_Solar_TSM-270PEG5.40,Trina Solar,0.005741,1.528818,9.267897,1.90E-10,0.21819,255.877914
Trina_Solar_TSM-270PEG5.47,Trina Solar,0.005741,1.528818,9.267897,1.90E-10,0.21819,255.877914
Trina_Solar_TSM-275DD05A(II),Trina Solar,0.005022,1.545519,9.30564,1.08E-10,0.331462,546.588501
Trina_Solar_TSM-275DD05A.001(II),Trina Solar,0.004787,1.63282,9.260427,4.71E-10,0.287513,6236.412109
Trina_Solar_TSM-275DD05A.002(II),Trina Solar,0.004787,1.63282,9.260427,4.71E-10,0.287513,6236.412109
Trina_Solar_TSM-275DD05A.00M(II),Trina Solar,0.004787,1.63282,9.260427,4.71E-10,0.287513,6236.412109
Trina_Solar_TSM-275DD05A.00S(II),Trina Solar,0.004787,1.63282,9.260427,4.71E-10,0.287513,6236.412109
Trina_Solar_TSM-275DD05A.00U(II),Trina Solar,0.004787,1.63282,9.260427,4.71E-10,0.287513,6236.412109
Trina_Solar_TSM-275DD05A.05(II),Trina Solar,0.005022,1.545519,9.30564,1.08E-10,0.331462,546.588501
