"United States","Auto Parts","DAN","Dana Inc"
"Denmark","Marine Shipping","DFDS.CO","Dfds A/S"
"Denmark","Marine Shipping","DNORD.CO","D/S Norden A/S"
"United States","Auto Parts","DORM","Dorman Products Inc"
"Denmark","Integrated Freight & Logistics","DSV.CO","DSV PANALPINA A/S"
"United States","Integrated Freight & Logistics","ECHO","Echo Global Logistics Inc"
"United States","Integrated Freight & Logistics","EXPD","Expeditors International of Washington Inc"
"United States","Integrated Freight & Logistics","FDX","FedEx Corp"
"United States","Auto Manufacturers","FSR","Fisker Inc"
"United States","Integrated Freight & Logistics","FWRD","Forward Air Corp"
"United States","Railroads","GBX","Greenbrier Cos Inc/The"
"United States","Packaging & Containers","GEF","Greif Inc"
"United States","Auto Manufacturers","GM","General Motors Co"
"United States","Auto Parts","GNTX","Gentex Corp"
"United States","Specialty Retail","GPC","Genuine Parts Co"
"United States","Packaging & Containers","GPK","Graphic Packaging Holding Co"
"United States","Auto Parts","GT","Goodyear Tire & Rubber Co/The"
"Denmark","Packaging & Containers","HART.CO","Brodrene Hartmann A/S"
"Germany","Marine Shipping","HHFA.DE","Hamburger Hafen und Logistik AG"
"Germany","Marine Shipping","HLAG.DE","Hapag-Lloyd AG"
"United States","Trucking","HTLD","Heartland Express Inc"
"United States","Integrated Freight & Logistics","HUBG","Hub Group Inc"
"Finland","Packaging & Containers","HUH1V.HE","Huhtamaki Oyj"
"United States","Integrated Freight & Logistics","JBHT","JB Hunt Transport Services Inc"
"Germany","Auto Parts","KBX.DE","Knorr-Bremse AG"
"United States","Marine Shipping","KEX","Kirby Corp"
"United States","Trucking","KNX","Knight-Swift Transportation Holdings Inc"
"United States","Railroads","KSU","Kansas City Southern"
"United States","Auto Parts","LEA","Lear Corp"
"United States","Auto Parts","LKQ","LKQ Corp"
"United States","Integrated Freight & Logistics","LSTR","Landstar System Inc"
"United States","Marine Shipping","MATX","Matson Inc"
"United States","Airports & Air Services","MIC","Macquarie Infrastructure Corp"
"Austria","Packaging & Containers","MMK.VI","Mayr Melnhof Karton AG"
"United States","Auto Parts","MOD","Modine Manufacturing Co"
"United States","Trucking","MRTN","Marten Transport Ltd"
"United States","Auto Parts","MTOR","Meritor Inc"
"United States","Packaging & Containers","MYE","Myers Industries Inc"
"United States","Auto Manufacturers","NKLA","Nikola Corp"
"United States","Railroads","NSC","Norfolk Southern Corp"
"United States","Trucking","ODFL","Old Dominion Freight Line Inc"
"United States","Packaging & Containers","OI","O-I Glass Inc"
"Germany","Auto Manufacturers","PAH3.DE","Porsche Automobil Holding SE"
"United States","Packaging & Containers","PKG","Packaging Corp of America"
"United States","Auto Parts","PLOW","Douglas Dynamics Inc"
"United States","Packaging & Containers","PTVE","Pactiv Evergreen Inc"
"United States","Auto Parts","QS","QuantumScape Corp"
"United States","Packaging & Containers","REYN","Reynolds Consumer Products Inc"
"United States","Auto Manufacturers","RIDE","Lordstown Motors Corp"
"United States","Trucking","SAIA","Saia Inc"
"United States","Packaging & Containers","SEE","Sealed Air Corp"
"Bermuda","Marine Shipping","SFL","SFL Corp Ltd"
"Germany","Auto Parts","SFQ.DE","SAF-Holland SE"
"Germany","Auto Parts","SHA.DE","Schaeffler AG"
"United States","Packaging & Containers","SLGN","Silgan Holdings Inc"
"Germany","Railroads","SLT.DE","Schaltbau Holding AG"
"United States","Marine Shipping","SMHI","SEACOR Holdings Inc"
"United States","Trucking","SNDR","Schneider National Inc"
"United States","Packaging & Containers","SON","Sonoco Products Co"
"United States","Auto Parts","THRM","Gentherm Inc"
"United States","Railroads","TRN","Trinity Industries Inc"
"United States","Auto Manufacturers","TSLA","Tesla Inc"
"United States","Packaging & Containers","TUP","Tupperware Brands Corp"
"Finland","Auto Parts","TYRES.HE","Nokian Renkaat Oyj"
"United States","Railroads","UNP","Union Pacific Corp"
"United States","Integrated Freight & Logistics","UPS","United Parcel Service Inc"
"Sweden","Auto Parts","VBG-B.ST","VBG Group AB"
"Sweden","Auto Parts","VNE","Veoneer Inc"
"Germany","Railroads","VOS.DE","Vossloh AG"
"United States","Railroads","WAB","Westinghouse Air Brake Technologies Corp"
