"Produkter","Verdi_andel_Tallene er inkl. 15 % mva","Salg_i_verdi_1000_NOK_2018","Salg_i_verdi_1000_NOK_2019","Endring_i_%_fra_2018_til_2019","Type","Sum","Lookup_navn","Norsk_2018","Import_2018","Total_2018","Norsk_2019","Import_2019","Total_2019","Endring_2018-2019","Endring_2020-2019_gjennomsnitt","Kg_pr_capita_i_2019","Overordnet_type","Oprindeligt_navn","Folketallet_gjennemsnit_2019","Kg_pr_capita_i_2019__1"
"Asparges",52.4,102435,108416,5.8,"Stengelvekster","Enhed","Asparges",0,1290,1290,0,1411,1411,0.094,0.042,0.3,"Grønnsaker","Asparges",5347896,0.26
"Stangselleri",39.8,59421,82481,38.8,"Stengelvekster","Enhed","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",5347896,"#N/A"
"Fennikel",6.8,13904,14079,1.3,"Stengelvekster","Enhed","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",5347896,"#N/A"
"Stengelvekster øvrige",1,1972,2116,7.4,"Stengelvekster","Enhed","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",5347896,"#N/A"
"Frukt/bær","100,0",8321136,8442259,"1,5","Frukt/bær","Kategori","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",5347896,"#N/A"
"Bløtfrukter","36,4",3026582,3068854,"1,4","Frukt/bær","Enhed","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",5347896,"#N/A"
"Bær","20,2",1580599,1705542,"7,9","Frukt/bær","Enhed","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",5347896,"#N/A"
"Sitrusfrukter","17,8",1421671,1500174,"5,5","Frukt/bær","Enhed","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",5347896,"#N/A"
"Kjernefrukter","16,0",1414693,1350283,"-4,6","Frukt/bær","Enhed","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",5347896,"#N/A"
"Steinfrukter","8,8",813398,746986,"-8,2","Frukt/bær","Enhed","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",5347896,"#N/A"
"Frukter øvrige","0,8",64193,70419,"9,7","Frukt/bær","Enhed","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",5347896,"#N/A"
"Bløtfrukter","100,0",3026582,3068854,"1,4","Bløtfrukter","Kategori","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",5347896,"#N/A"
"Banan","46,9",1418754,1439071,"1,4","Bløtfrukter","Enhed","Banan",0,84510,84510,0,82892,82892,-0.019,0.006,15.5,"FRUKT","Bananer",5347896,15.5
