"Vare","Vare_2","Masse","Volume","Energi_kj","Kalorier_kcal","Fett_g","Mettet fett_g","Enumettet_fett_g","Flerumettet_fett_g","Karbohydrater_g","Sukkerarter_g","Sukkeralkoholer","Stivelse_g","Kostfiber_g","Protein_g","Salt_g","Land","Merke","Producent","Indeholder_1","Indeholder_2","Indeholder_3","Indeholder_spor_1","Indeholder_spor_2","Indeholder_spor_3"
"Indisk_Tandoori_Chicken290_gram","",290,"",556,132,"4,1","2,3","","",15,"0,8","","",0,"8,2","0,4","","","","","","","","",""
"Isbergsalat1_stk","","","",51,12,"0,1",0,0,"0,1","1,5",0,"",0,"1,1","0,8",0,"","","","","","","","",""
"Iskaffe_a_la_Cappuccino330_ml","","",330,246,58,"1,1","0,8","","","9,5","9,5","","","","2,6","0,3","","","","","","","","",""
"Iskaffe_a_la_Mocca330_ml","","",330,238,56,"1,1","0,8","","",9,9,"","","","2,6","0,3","","","","","","","","",""
"Italiensk_salat_eget_merke400_gram","",400,"",1496,363,"37,4","2,9","","","5,2","4,9","","0,3","0,9",1,"0,8","","","","","","","","",""
"Italiensk_salat_med_skinke180_gr","",180,"",1360,330,33,2,20,9,6,5,"","",0,2,"1,5","","","","","","","","",""
"Italienske_gryte176_gram","",176,"",490,117,"5,1","2,4","","","9,2",1,"","","",8,"0,5","","","","","","","","",""
"Jalapeños","","","",122,29,"0,4","0,1",0,"0,1","4,1",0,"",0,"2,8","0,9",0,"","","","","","","","",""
"Japp_Duo_Freia82_gr","",82,"",1890,450,"17,5",10,"","",27,0,"","","1,3","4,4","0,2","","","","","","","","",""
"Jasminris_Boil_in_B.","","","",524,123,"0,2",0,"","","","","","","0,8","2,9",0,"","","","","","","","",""
"JIF_Baderom_Spray500_ml","","",500,"","","","","","","","","","","","","","","","","","","","","",""
"JIF_Kjøkken_Spray500_ml","","",500,"","","","","","","","","","","","","","","","","","","","","",""
"JIF_Skurekrem500_ml","","",500,"","","","","","","","","","","","","","","","","","","","","",""
